"year";"plot";"focal";"competitor";"magnitude"
2016;1;"LYTR";"SASO";NA
2017;1;"LYTR";"SASO";NA
2018;1;"LYTR";"SASO";NA
2019;1;"LYTR";"SASO";NA
2016;2;"LYTR";"SASO";NA
2017;2;"LYTR";"SASO";NA
2018;2;"LYTR";"SASO";NA
2019;2;"LYTR";"SASO";NA
2016;3;"LYTR";"SASO";NA
2017;3;"LYTR";"SASO";NA
2018;3;"LYTR";"SASO";NA
2019;3;"LYTR";"SASO";NA
2016;4;"LYTR";"SASO";NA
2017;4;"LYTR";"SASO";-0,239926517866382
2018;4;"LYTR";"SASO";-0,00138695556935373
2019;4;"LYTR";"SASO";NA
2016;5;"LYTR";"SASO";NA
2017;5;"LYTR";"SASO";-0,036077665351738
2018;5;"LYTR";"SASO";NA
2019;5;"LYTR";"SASO";NA
2016;6;"LYTR";"SASO";NA
2017;6;"LYTR";"SASO";0,0817389552247606
2018;6;"LYTR";"SASO";NA
2019;6;"LYTR";"SASO";NA
2016;7;"LYTR";"SASO";NA
2017;7;"LYTR";"SASO";-0,108925066141228
2018;7;"LYTR";"SASO";NA
2019;7;"LYTR";"SASO";NA
2016;8;"LYTR";"SASO";NA
2017;8;"LYTR";"SASO";-0,0284390297436168
2018;8;"LYTR";"SASO";NA
2019;8;"LYTR";"SASO";NA
2016;9;"LYTR";"SASO";NA
2017;9;"LYTR";"SASO";NA
2018;9;"LYTR";"SASO";NA
2019;9;"LYTR";"SASO";NA
2016;1;"MEEL";"SASO";0,0071845728111578
2017;1;"MEEL";"SASO";NA
2018;1;"MEEL";"SASO";NA
2019;1;"MEEL";"SASO";-0,000239945012744548
2016;2;"MEEL";"SASO";-0,00421635153586128
2017;2;"MEEL";"SASO";-0,00376848130931187
2018;2;"MEEL";"SASO";NA
2019;2;"MEEL";"SASO";-0,00508114664688694
2016;3;"MEEL";"SASO";NA
2017;3;"MEEL";"SASO";NA
2018;3;"MEEL";"SASO";NA
2019;3;"MEEL";"SASO";NA
2016;4;"MEEL";"SASO";-0,0426454104169805
2017;4;"MEEL";"SASO";NA
2018;4;"MEEL";"SASO";NA
2019;4;"MEEL";"SASO";NA
2016;5;"MEEL";"SASO";-0,00239437260319977
2017;5;"MEEL";"SASO";NA
2018;5;"MEEL";"SASO";NA
2019;5;"MEEL";"SASO";-0,0159653201919072
2016;6;"MEEL";"SASO";-0,0192777841186565
2017;6;"MEEL";"SASO";NA
2018;6;"MEEL";"SASO";NA
2019;6;"MEEL";"SASO";NA
2016;7;"MEEL";"SASO";0,0315071548777666
2017;7;"MEEL";"SASO";NA
2018;7;"MEEL";"SASO";NA
2019;7;"MEEL";"SASO";NA
2016;8;"MEEL";"SASO";0,00207732709328787
2017;8;"MEEL";"SASO";NA
2018;8;"MEEL";"SASO";NA
2019;8;"MEEL";"SASO";NA
2016;9;"MEEL";"SASO";NA
2017;9;"MEEL";"SASO";NA
2018;9;"MEEL";"SASO";NA
2019;9;"MEEL";"SASO";NA
2016;1;"MESU";"SASO";0,0200840320469757
2017;1;"MESU";"SASO";0,00135722402731737
2018;1;"MESU";"SASO";NA
2019;1;"MESU";"SASO";0,00119176203896871
2016;2;"MESU";"SASO";0,000330546495458926
2017;2;"MESU";"SASO";0,000928406540249003
2018;2;"MESU";"SASO";NA
2019;2;"MESU";"SASO";0,00122917419652843
2016;3;"MESU";"SASO";-0,00288002468930211
2017;3;"MESU";"SASO";-0,00126239087804082
2018;3;"MESU";"SASO";NA
2019;3;"MESU";"SASO";0,00287680085304038
2016;4;"MESU";"SASO";0,00845750938423317
2017;4;"MESU";"SASO";NA
2018;4;"MESU";"SASO";NA
2019;4;"MESU";"SASO";0,00244624742079709
2016;5;"MESU";"SASO";-0,00115438352395797
2017;5;"MESU";"SASO";NA
2018;5;"MESU";"SASO";NA
2019;5;"MESU";"SASO";NA
2016;6;"MESU";"SASO";0,000702860528598757
2017;6;"MESU";"SASO";NA
2018;6;"MESU";"SASO";NA
2019;6;"MESU";"SASO";NA
2016;7;"MESU";"SASO";0,0061354526120744
2017;7;"MESU";"SASO";NA
2018;7;"MESU";"SASO";NA
2019;7;"MESU";"SASO";7,45376645953515e-05
2016;8;"MESU";"SASO";-0,000450337025042261
2017;8;"MESU";"SASO";NA
2018;8;"MESU";"SASO";NA
2019;8;"MESU";"SASO";-0,00726185498682209
2016;9;"MESU";"SASO";0,065996212729192
2017;9;"MESU";"SASO";NA
2018;9;"MESU";"SASO";NA
2019;9;"MESU";"SASO";-0,00023910093436815
2016;1;"PAIN";"SASO";0,00544342110842132
2017;1;"PAIN";"SASO";0,00317781656549286
2018;1;"PAIN";"SASO";NA
2019;1;"PAIN";"SASO";-0,00569247649828845
2016;2;"PAIN";"SASO";-0,0319794657393305
2017;2;"PAIN";"SASO";0,00153416137280808
2018;2;"PAIN";"SASO";0,0012009341285775
2019;2;"PAIN";"SASO";-0,00565100302973094
2016;3;"PAIN";"SASO";-0,00518776829860596
2017;3;"PAIN";"SASO";0,000922484499838161
2018;3;"PAIN";"SASO";0,00064736051379919
2019;3;"PAIN";"SASO";-0,00494239386744565
2016;4;"PAIN";"SASO";-0,0109954379094792
2017;4;"PAIN";"SASO";-0,048079442400242
2018;4;"PAIN";"SASO";0,00216241810372844
2019;4;"PAIN";"SASO";-0,0059381008591966
2016;5;"PAIN";"SASO";-0,00112155986589214
2017;5;"PAIN";"SASO";-0,0289848992560339
2018;5;"PAIN";"SASO";NA
2019;5;"PAIN";"SASO";-0,00593221812571352
2016;6;"PAIN";"SASO";0,0107594505900233
2017;6;"PAIN";"SASO";0,010983813346926
2018;6;"PAIN";"SASO";0,00160120032054787
2019;6;"PAIN";"SASO";-0,00595540346624195
2016;7;"PAIN";"SASO";0,0385607043202571
2017;7;"PAIN";"SASO";NA
2018;7;"PAIN";"SASO";NA
2019;7;"PAIN";"SASO";-0,000276468366385414
2016;8;"PAIN";"SASO";0,0772769723646539
2017;8;"PAIN";"SASO";NA
2018;8;"PAIN";"SASO";NA
2019;8;"PAIN";"SASO";-0,00351109999654446
2016;9;"PAIN";"SASO";0,0161609609105849
2017;9;"PAIN";"SASO";NA
2018;9;"PAIN";"SASO";NA
2019;9;"PAIN";"SASO";-0,00512571806374225
2016;1;"PLCO";"SASO";-0,00176797355632443
2017;1;"PLCO";"SASO";-0,000866825510419056
2018;1;"PLCO";"SASO";NA
2019;1;"PLCO";"SASO";NA
2016;2;"PLCO";"SASO";0,00588058581673044
2017;2;"PLCO";"SASO";NA
2018;2;"PLCO";"SASO";NA
2019;2;"PLCO";"SASO";NA
2016;3;"PLCO";"SASO";0,00238411960042187
2017;3;"PLCO";"SASO";0,0001980226018601
2018;3;"PLCO";"SASO";NA
2019;3;"PLCO";"SASO";NA
2016;4;"PLCO";"SASO";0,021110065766273
2017;4;"PLCO";"SASO";-0,00113313959822787
2018;4;"PLCO";"SASO";NA
2019;4;"PLCO";"SASO";-0,00239873136424902
2016;5;"PLCO";"SASO";0,00133437366511512
2017;5;"PLCO";"SASO";0,0133256498722116
2018;5;"PLCO";"SASO";NA
2019;5;"PLCO";"SASO";NA
2016;6;"PLCO";"SASO";0,0184192267340708
2017;6;"PLCO";"SASO";0,00122460143313014
2018;6;"PLCO";"SASO";NA
2019;6;"PLCO";"SASO";-0,00176698853483132
2016;7;"PLCO";"SASO";0,00592392013793272
2017;7;"PLCO";"SASO";NA
2018;7;"PLCO";"SASO";NA
